UserID, General Type of Interaction, Time, Specific Type of Interaction, Seated or Standing Mode, Stage movement, stage rotation and scaling, session number 
525,triggerInteraction,15.32875,triggerOnObject,seated,free,touchpads,1
525,triggerInteraction,15.32875,duplicateObject,seated,free,touchpads,1
525,triggerInteraction,16.40295,triggerOnObject,seated,free,touchpads,1
525,triggerInteraction,17.45994,uiElement,seated,free,touchpads,1
525,triggerInteraction,18.07971,duplicateObjectUI,seated,free,touchpads,1
525,triggerInteraction,18.07971,duplicateObjectUI,seated,free,touchpads,1
525,triggerInteraction,18.07971,uiElement,seated,free,touchpads,1
525,triggerInteraction,18.88486,triggerOnObject,seated,free,touchpads,1
525,triggerInteraction,21.19784,uiElement,seated,free,touchpads,1
525,triggerInteraction,21.83862,duplicateObjectUI,seated,free,touchpads,1
525,triggerInteraction,21.83862,duplicateObjectUI,seated,free,touchpads,1
525,triggerInteraction,21.83862,uiElement,seated,free,touchpads,1
525,triggerInteraction,22.75465,triggerOnObject,seated,free,touchpads,1
525,triggerInteraction,24.15683,triggerOnObject,seated,free,touchpads,1
525,triggerInteraction,25.54313,nonUniformScaleHandle,seated,free,touchpads,1
525,triggerInteraction,26.93105,uiElement,seated,free,touchpads,1
525,triggerInteraction,27.49341,duplicateObjectUI,seated,free,touchpads,1
525,triggerInteraction,27.49341,duplicateObjectUI,seated,free,touchpads,1
525,triggerInteraction,27.49341,uiElement,seated,free,touchpads,1
525,triggerInteraction,28.31038,triggerOnObject,seated,free,touchpads,1
525,triggerInteraction,29.22771,triggerOnObject,seated,free,touchpads,1
525,triggerInteraction,30.07856,triggerOnObject,seated,free,touchpads,1
525,navigation,33.95346,touchpadRotateStage,seated,free,touchpads,1
525,triggerInteraction,35.71186,uiElement,seated,free,touchpads,1
525,triggerInteraction,38.70979,uiElement,seated,free,touchpads,1
525,triggerInteraction,39.30523,triggerOnObject,seated,free,touchpads,1
525,triggerInteraction,40.22005,triggerOnObject,seated,free,touchpads,1
525,triggerInteraction,40.22005,duplicateObject,seated,free,touchpads,1
525,triggerInteraction,42.72376,triggerOnObject,seated,free,touchpads,1
525,triggerInteraction,45.25431,uiElement,seated,free,touchpads,1
525,triggerInteraction,46.41555,duplicateObjectUI,seated,free,touchpads,1
525,triggerInteraction,46.41555,duplicateObjectUI,seated,free,touchpads,1
525,triggerInteraction,46.41555,uiElement,seated,free,touchpads,1
525,triggerInteraction,47.9602,triggerOnObject,seated,free,touchpads,1
525,triggerInteraction,49.23586,triggerOnObject,seated,free,touchpads,1
525,triggerInteraction,50.02848,triggerOnObject,seated,free,touchpads,1
525,triggerInteraction,51.80375,triggerOnObject,seated,free,touchpads,1
525,triggerInteraction,53.64161,triggerOnObject,seated,free,touchpads,1
525,triggerInteraction,54.0489,touchpadMoveObject,seated,free,touchpads,1
525,triggerInteraction,54.39858,deleteObject,seated,free,touchpads,1
525,triggerInteraction,54.39858,deleteObject,seated,free,touchpads,1
525,triggerInteraction,54.8759,triggerOnObject,seated,free,touchpads,1
525,triggerInteraction,55.17448,deleteObject,seated,free,touchpads,1
525,triggerInteraction,55.17448,deleteObject,seated,free,touchpads,1
