UserID, General Type of Interaction, Time, Specific Type of Interaction, Seated or Standing Mode, Stage movement, stage rotation and scaling, session number 
256,triggerInteraction,12.41675,triggerOnObject,seated,free,touchpads,1
256,triggerInteraction,12.41675,duplicateObject,seated,free,touchpads,1
256,triggerInteraction,13.38212,triggerOnObject,seated,free,touchpads,1
256,triggerInteraction,13.38212,duplicateObject,seated,free,touchpads,1
256,triggerInteraction,15.49395,uiElement,seated,free,touchpads,1
256,triggerInteraction,17.34233,uiElement,seated,free,touchpads,1
256,triggerInteraction,18.26109,triggerOnObject,seated,free,touchpads,1
256,triggerInteraction,18.26109,duplicateObject,seated,free,touchpads,1
256,triggerInteraction,19.67584,triggerOnObject,seated,free,touchpads,1
256,triggerInteraction,19.67584,duplicateObject,seated,free,touchpads,1
256,triggerInteraction,20.23489,touchpadMoveObject,seated,free,touchpads,1
256,triggerInteraction,21.16754,triggerOnObject,seated,free,touchpads,1
256,triggerInteraction,21.29873,touchpadMoveObject,seated,free,touchpads,1
256,triggerInteraction,21.98611,touchpadMoveObject,seated,free,touchpads,1
256,navigation,23.64153,touchpadRotateStage,seated,free,touchpads,1
256,navigation,24.11937,touchpadRotateStage,seated,free,touchpads,1
256,navigation,24.39618,touchpadRotateStage,seated,free,touchpads,1
256,triggerInteraction,24.73814,triggerOnObject,seated,free,touchpads,1
256,triggerInteraction,25.28424,touchpadMoveObject,seated,free,touchpads,1
256,triggerInteraction,27.30622,triggerOnObject,seated,free,touchpads,1
256,navigation,28.35675,touchpadRotateStage,seated,free,touchpads,1
256,navigation,28.67751,touchpadRotateStage,seated,free,touchpads,1
256,triggerInteraction,29.05308,triggerOnObject,seated,free,touchpads,1
256,triggerInteraction,29.33867,touchpadMoveObject,seated,free,touchpads,1
256,triggerInteraction,30.30766,stage,seated,free,touchpads,1
256,triggerInteraction,30.70619,touchpadMoveObject,seated,free,touchpads,1
256,triggerInteraction,31.38006,touchpadMoveObject,seated,free,touchpads,1
256,navigation,31.64539,touchpadRotateStage,seated,free,touchpads,1
256,navigation,31.96479,touchpadRotateStage,seated,free,touchpads,1
256,triggerInteraction,32.43972,triggerOnObject,seated,free,touchpads,1
256,triggerInteraction,32.63608,touchpadMoveObject,seated,free,touchpads,1
256,triggerInteraction,33.77707,triggerOnObject,seated,free,touchpads,1
256,triggerInteraction,34.08416,touchpadMoveObject,seated,free,touchpads,1
256,triggerInteraction,34.98266,stage,seated,free,touchpads,1
256,triggerInteraction,35.25865,touchpadMoveObject,seated,free,touchpads,1
256,navigation,35.77676,touchpadRotateStage,seated,free,touchpads,1
256,navigation,36.14114,touchpadRotateStage,seated,free,touchpads,1
256,navigation,36.48394,touchpadRotateStage,seated,free,touchpads,1
256,navigation,36.76052,touchpadRotateStage,seated,free,touchpads,1
256,triggerInteraction,37.24688,triggerOnObject,seated,free,touchpads,1
256,triggerInteraction,38.38503,triggerOnObject,seated,free,touchpads,1
256,triggerInteraction,38.94257,touchpadMoveObject,seated,free,touchpads,1
256,navigation,39.76455,touchpadRotateStage,seated,free,touchpads,1
256,triggerInteraction,41.81183,triggerNoTarget,seated,free,touchpads,1
256,triggerInteraction,42.03338,triggerNoTarget,seated,free,touchpads,1
256,triggerInteraction,42.2215,triggerNoTarget,seated,free,touchpads,1
256,navigation,44.47818,touchpadRotateStage,seated,free,touchpads,1
256,triggerInteraction,45.62849,triggerNoTarget,seated,free,touchpads,1
256,triggerInteraction,45.8165,uiElement,seated,free,touchpads,1
256,triggerInteraction,50.40549,triggerOnObject,seated,free,touchpads,1
256,triggerInteraction,51.47471,uiElement,seated,free,touchpads,1
