UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
437,triggerInteraction,7.7768,triggerOnObject,alwaysOpen,free,touchpads,1
437,triggerInteraction,9.045794,RotationHandle,alwaysOpen,free,touchpads,1
437,triggerInteraction,21.56708,RotationHandle,alwaysOpen,free,touchpads,1
437,triggerInteraction,26.85122,RotationHandle,alwaysOpen,free,touchpads,1
437,triggerInteraction,30.57477,RotationHandle,alwaysOpen,free,touchpads,1
437,navigation,37.3723,touchpadRotateStage,alwaysOpen,free,touchpads,1
437,triggerInteraction,48.61415,RotationHandle,alwaysOpen,free,touchpads,1
437,navigation,59.51928,touchpadRotateStage,alwaysOpen,free,touchpads,1
437,navigation,59.94812,touchpadRotateStage,alwaysOpen,free,touchpads,1
