UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
236,triggerInteraction,6.56829,triggerOnObject,alwaysOpen,free,touchpads,1
236,triggerInteraction,10.07101,triggerOnObject,alwaysOpen,free,touchpads,1
236,triggerInteraction,14.54974,FrustumHandle,alwaysOpen,free,touchpads,1
236,triggerInteraction,16.33345,FrustumHandle,alwaysOpen,free,touchpads,1
236,triggerInteraction,20.64502,triggerNoTarget,alwaysOpen,free,touchpads,1
236,triggerInteraction,25.29744,triggerOnObject,alwaysOpen,free,touchpads,1
236,triggerInteraction,34.06695,triggerOnObject,alwaysOpen,free,touchpads,1
236,triggerInteraction,35.09768,triggerOnObject,alwaysOpen,free,touchpads,1
236,triggerInteraction,45.51194,triggerOnObject,alwaysOpen,free,touchpads,1
236,triggerInteraction,48.90111,triggerOnObject,alwaysOpen,free,touchpads,1
236,triggerInteraction,54.9299,triggerOnObject,alwaysOpen,free,touchpads,1
236,triggerInteraction,57.59367,triggerOnObject,alwaysOpen,free,touchpads,1
236,triggerInteraction,60.16852,triggerOnObject,alwaysOpen,free,touchpads,1
236,navigation,60.52279,touchpadMoveObject,alwaysOpen,free,touchpads,1
236,navigation,60.87482,touchpadMoveObject,alwaysOpen,free,touchpads,1
236,triggerInteraction,61.97416,triggerOnObject,alwaysOpen,free,touchpads,1
236,navigation,62.39211,touchpadMoveObject,alwaysOpen,free,touchpads,1
236,navigation,75.64467,touchpadRotateStage,alwaysOpen,free,touchpads,1
236,triggerInteraction,84.46339,triggerOnObject,alwaysOpen,free,touchpads,1
236,navigation,85.01366,touchpadMoveObject,alwaysOpen,free,touchpads,1
236,triggerInteraction,88.38471,triggerOnObject,alwaysOpen,free,touchpads,1
236,navigation,90.10408,touchpadScaleStage,alwaysOpen,free,touchpads,1
236,navigation,90.91512,touchpadScaleStage,alwaysOpen,free,touchpads,1
236,navigation,91.92413,touchpadScaleStage,alwaysOpen,free,touchpads,1
