UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
87587,triggerInteraction,4.062725,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,8.705879,triggerOnObject,alwaysOpen,free,touchpads,1
87587,navigation,9.188213,touchpadMoveObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,10.01161,triggerOnObject,alwaysOpen,free,touchpads,1
87587,navigation,10.45838,touchpadMoveObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,15.08889,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,15.90089,triggerOnObject,alwaysOpen,free,touchpads,1
87587,navigation,19.21324,touchpadRotateStage,alwaysOpen,free,touchpads,1
87587,navigation,19.70032,touchpadRotateStage,alwaysOpen,free,touchpads,1
87587,triggerInteraction,20.54135,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,21.48002,triggerOnObject,alwaysOpen,free,touchpads,1
87587,navigation,22.55053,touchpadRotateStage,alwaysOpen,free,touchpads,1
87587,triggerInteraction,23.18483,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,24.14939,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,33.51522,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,35.49811,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,36.45388,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,44.53379,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,46.97326,triggerOnObject,alwaysOpen,free,touchpads,1
87587,navigation,47.30237,touchpadMoveObject,alwaysOpen,free,touchpads,1
87587,navigation,48.73133,touchpadRotateStage,alwaysOpen,free,touchpads,1
87587,navigation,49.27647,touchpadRotateStage,alwaysOpen,free,touchpads,1
87587,navigation,49.69592,touchpadRotateStage,alwaysOpen,free,touchpads,1
87587,navigation,51.44526,touchpadRotateStage,alwaysOpen,free,touchpads,1
87587,triggerInteraction,52.26222,triggerOnObject,alwaysOpen,free,touchpads,1
87587,navigation,52.68291,touchpadMoveObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,55.95595,triggerOnObject,alwaysOpen,free,touchpads,1
87587,navigation,56.46373,touchpadMoveObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,58.50519,triggerOnObject,alwaysOpen,free,touchpads,1
87587,navigation,58.78617,touchpadMoveObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,61.64517,triggerOnObject,alwaysOpen,free,touchpads,1
87587,navigation,62.13093,touchpadMoveObject,alwaysOpen,free,touchpads,1
87587,navigation,64.59375,touchpadRotateStage,alwaysOpen,free,touchpads,1
87587,triggerInteraction,65.11944,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,69.69637,triggerOnObject,alwaysOpen,free,touchpads,1
87587,navigation,73.2942,touchpadRotateStage,alwaysOpen,free,touchpads,1
87587,navigation,73.8587,touchpadRotateStage,alwaysOpen,free,touchpads,1
87587,navigation,74.33391,touchpadRotateStage,alwaysOpen,free,touchpads,1
87587,triggerInteraction,76.96583,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,82.5254,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,86.69053,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,87.74422,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,88.47972,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,89.35669,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,90.58291,triggerOnObject,alwaysOpen,free,touchpads,1
87587,triggerInteraction,103.5205,triggerOnObject,alwaysOpen,free,touchpads,1
