UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
76767,triggerInteraction,10.5255,triggerOnObject,alwaysOpen,free,touchpads,1
76767,triggerInteraction,11.77442,RotationHandle,alwaysOpen,free,touchpads,1
76767,navigation,14.04321,touchpadRotateStage,alwaysOpen,free,touchpads,1
76767,navigation,14.36362,touchpadRotateStage,alwaysOpen,free,touchpads,1
76767,navigation,14.63893,touchpadRotateStage,alwaysOpen,free,touchpads,1
76767,navigation,14.90277,touchpadRotateStage,alwaysOpen,free,touchpads,1
76767,navigation,15.15678,touchpadRotateStage,alwaysOpen,free,touchpads,1
76767,navigation,15.43367,touchpadRotateStage,alwaysOpen,free,touchpads,1
76767,navigation,15.68822,touchpadRotateStage,alwaysOpen,free,touchpads,1
76767,navigation,15.96431,touchpadRotateStage,alwaysOpen,free,touchpads,1
76767,navigation,16.22974,touchpadRotateStage,alwaysOpen,free,touchpads,1
76767,triggerInteraction,16.93674,RotationHandle,alwaysOpen,free,touchpads,1
