UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
5345437,triggerInteraction,11.68781,triggerOnObject,alwaysOpen,free,touchpads,1
5345437,triggerInteraction,16.3425,RotationHandle,alwaysOpen,free,touchpads,1
5345437,triggerInteraction,17.91086,triggerOnObject,alwaysOpen,free,touchpads,1
5345437,navigation,18.32946,touchpadMoveObject,alwaysOpen,free,touchpads,1
5345437,triggerInteraction,19.56725,triggerOnObject,alwaysOpen,free,touchpads,1
5345437,navigation,21.35568,touchpadMoveObject,alwaysOpen,free,touchpads,1
5345437,triggerInteraction,25.77481,triggerOnObject,alwaysOpen,free,touchpads,1
5345437,triggerInteraction,27.4517,triggerOnObject,alwaysOpen,free,touchpads,1
5345437,triggerInteraction,34.06001,triggerOnObject,alwaysOpen,free,touchpads,1
5345437,triggerInteraction,35.42283,triggerOnObject,alwaysOpen,free,touchpads,1
5345437,triggerInteraction,36.32922,triggerOnObject,alwaysOpen,free,touchpads,1
