UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
8758,triggerInteraction,3.444201,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,4.145659,stage,alwaysOpen,free,touchpads,1
8758,triggerInteraction,5.19519,triggerNoTarget,alwaysOpen,free,touchpads,1
8758,triggerInteraction,5.713237,triggerOnObject,alwaysOpen,free,touchpads,1
8758,navigation,6.023214,touchpadMoveObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,7.108751,triggerNoTarget,alwaysOpen,free,touchpads,1
8758,triggerInteraction,7.468218,triggerOnObject,alwaysOpen,free,touchpads,1
8758,navigation,7.877842,touchpadMoveObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,16.95752,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,17.8585,triggerOnObject,alwaysOpen,free,touchpads,1
8758,navigation,18.24113,touchpadMoveObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,19.89103,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,22.66268,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,27.98004,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,31.44151,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,32.93931,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,34.03538,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,35.13627,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,37.39581,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,38.66518,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,41.3882,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,43.00489,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,45.88914,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,47.48008,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,49.75124,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,53.31756,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,57.27993,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,58.69285,triggerOnObject,alwaysOpen,free,touchpads,1
8758,navigation,58.89359,touchpadMoveObject,alwaysOpen,free,touchpads,1
8758,navigation,59.19003,touchpadMoveObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,59.95361,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,60.09687,triggerOnObject,alwaysOpen,free,touchpads,1
8758,navigation,60.52815,touchpadMoveObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,61.36391,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
8758,triggerInteraction,62.838,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,64.16508,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
8758,triggerInteraction,66.67958,FrustumHandle,alwaysOpen,free,touchpads,1
8758,triggerInteraction,68.34087,triggerOnObject,alwaysOpen,free,touchpads,1
8758,navigation,70.43645,touchpadRotateStage,alwaysOpen,free,touchpads,1
8758,navigation,70.81557,touchpadRotateStage,alwaysOpen,free,touchpads,1
8758,triggerInteraction,72.71175,FrustumHandle,alwaysOpen,free,touchpads,1
8758,triggerInteraction,75.24796,FrustumHandle,alwaysOpen,free,touchpads,1
8758,navigation,76.02973,touchpadRotateStage,alwaysOpen,free,touchpads,1
8758,navigation,76.38113,touchpadRotateStage,alwaysOpen,free,touchpads,1
8758,triggerInteraction,77.07587,FrustumHandle,alwaysOpen,free,touchpads,1
8758,navigation,78.24766,touchpadRotateStage,alwaysOpen,free,touchpads,1
8758,navigation,78.56167,touchpadRotateStage,alwaysOpen,free,touchpads,1
8758,triggerInteraction,85.46807,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,88.05045,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,90.83504,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,92.83987,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,94.20254,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,95.95455,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,97.47204,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,98.27189,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,100.5659,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,105.6159,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,107.6214,triggerOnObject,alwaysOpen,free,touchpads,1
8758,navigation,108.1152,touchpadMoveObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,110.515,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,111.9449,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,112.6599,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,113.4428,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,113.9151,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,114.3766,triggerOnObject,alwaysOpen,free,touchpads,1
8758,triggerInteraction,114.8497,triggerOnObject,alwaysOpen,free,touchpads,1
