UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
25345,triggerInteraction,10.01711,triggerOnObject,alwaysOpen,free,touchpads,1
25345,navigation,11.59254,touchpadRotateStage,alwaysOpen,free,touchpads,1
25345,triggerInteraction,13.89743,RotationHandle,alwaysOpen,free,touchpads,1
25345,triggerInteraction,21.50001,RotationHandle,alwaysOpen,free,touchpads,1
25345,triggerInteraction,31.27316,triggerOnObject,alwaysOpen,free,touchpads,1
25345,navigation,31.71487,touchpadMoveObject,alwaysOpen,free,touchpads,1
25345,triggerInteraction,32.50325,stage,alwaysOpen,free,touchpads,1
25345,triggerInteraction,33.68343,RotationHandle,alwaysOpen,free,touchpads,1
25345,navigation,35.9002,touchpadRotateStage,alwaysOpen,free,touchpads,1
25345,navigation,36.22106,touchpadRotateStage,alwaysOpen,free,touchpads,1
25345,navigation,36.60678,touchpadRotateStage,alwaysOpen,free,touchpads,1
25345,navigation,36.72829,touchpadScaleStage,alwaysOpen,free,touchpads,1
25345,navigation,37.50272,touchpadRotateStage,alwaysOpen,free,touchpads,1
25345,navigation,37.97775,touchpadRotateStage,alwaysOpen,free,touchpads,1
25345,navigation,39.87544,touchpadRotateStage,alwaysOpen,free,touchpads,1
25345,navigation,40.05186,touchpadRotateStage,alwaysOpen,free,touchpads,1
25345,triggerInteraction,41.37517,triggerNoTarget,alwaysOpen,free,touchpads,1
25345,navigation,41.72852,touchpadScaleStage,alwaysOpen,free,touchpads,1
25345,navigation,41.9601,touchpadScaleStage,alwaysOpen,free,touchpads,1
25345,navigation,42.12604,touchpadScaleStage,alwaysOpen,free,touchpads,1
25345,navigation,42.34679,touchpadScaleStage,alwaysOpen,free,touchpads,1
25345,navigation,42.50609,touchpadScaleStage,alwaysOpen,free,touchpads,1
25345,navigation,42.87059,touchpadRotateStage,alwaysOpen,free,touchpads,1
25345,navigation,45.11243,touchpadRotateStage,alwaysOpen,free,touchpads,1
25345,navigation,45.66465,touchpadRotateStage,alwaysOpen,free,touchpads,1
