UserID, General Type of Interaction, Time, Specific Type of Interaction, Settings Selection Mode, Stage movement, stage rotation and scaling, session number 
364,triggerInteraction,6.72858,triggerOnObject,alwaysOpen,free,touchpads,1
364,triggerInteraction,7.419508,triggerOnObject,alwaysOpen,free,touchpads,1
364,triggerInteraction,8.932078,stage,alwaysOpen,free,touchpads,1
364,triggerInteraction,10.25506,RotationHandle,alwaysOpen,free,touchpads,1
364,triggerInteraction,14.28156,RotationHandle,alwaysOpen,free,touchpads,1
364,navigation,17.49369,touchpadRotateStage,alwaysOpen,free,touchpads,1
364,navigation,17.84649,touchpadRotateStage,alwaysOpen,free,touchpads,1
364,triggerInteraction,18.45402,RotationHandle,alwaysOpen,free,touchpads,1
364,navigation,20.90187,touchpadRotateStage,alwaysOpen,free,touchpads,1
364,triggerInteraction,21.43076,RotationHandle,alwaysOpen,free,touchpads,1
364,navigation,22.96594,touchpadRotateStage,alwaysOpen,free,touchpads,1
364,triggerInteraction,24.60854,RotationHandle,alwaysOpen,free,touchpads,1
364,navigation,26.48313,touchpadRotateStage,alwaysOpen,free,touchpads,1
364,triggerInteraction,27.21284,nonUniformScaleHandle,alwaysOpen,free,touchpads,1
364,triggerInteraction,28.81997,RotationHandle,alwaysOpen,free,touchpads,1
364,triggerInteraction,36.56518,RotationHandle,alwaysOpen,free,touchpads,1
364,navigation,38.2395,touchpadRotateStage,alwaysOpen,free,touchpads,1
364,triggerInteraction,38.8785,triggerOnObject,alwaysOpen,free,touchpads,1
364,triggerInteraction,42.2799,triggerOnObject,alwaysOpen,free,touchpads,1
364,navigation,42.59011,touchpadMoveObject,alwaysOpen,free,touchpads,1
364,navigation,42.92119,touchpadMoveObject,alwaysOpen,free,touchpads,1
364,triggerInteraction,43.82209,triggerOnObject,alwaysOpen,free,touchpads,1
364,triggerInteraction,44.98453,RotationHandle,alwaysOpen,free,touchpads,1
364,triggerInteraction,48.01868,RotationHandle,alwaysOpen,free,touchpads,1
364,triggerInteraction,50.63191,triggerOnObject,alwaysOpen,free,touchpads,1
364,navigation,51.00717,touchpadMoveObject,alwaysOpen,free,touchpads,1
364,triggerInteraction,52.52716,triggerOnObject,alwaysOpen,free,touchpads,1
364,triggerInteraction,55.53263,triggerOnObject,alwaysOpen,free,touchpads,1
364,triggerInteraction,56.26175,RotationHandle,alwaysOpen,free,touchpads,1
364,triggerInteraction,59.37328,triggerOnObject,alwaysOpen,free,touchpads,1
364,triggerInteraction,60.28866,RotationHandle,alwaysOpen,free,touchpads,1
364,triggerInteraction,63.02146,RotationHandle,alwaysOpen,free,touchpads,1
364,triggerInteraction,65.6048,RotationHandle,alwaysOpen,free,touchpads,1
364,triggerInteraction,68.66986,RotationHandle,alwaysOpen,free,touchpads,1
364,triggerInteraction,69.91879,RotationHandle,alwaysOpen,free,touchpads,1
